

Debug Trace:
-------------- 10 --------------
-------------- 9.9 --------------
-------------- 9.5 --------------
-------------- 8.9 --------------
-------------- 8 --------------
-------------- 7 --------------
-------------- 5.8 --------------
-------------- 4.4 --------------
-------------- 3 --------------
-------------- 1.5 --------------
-------------- 0 --------------
-------------- -1.5 --------------
-------------- -2.9 --------------
-------------- -4.2 --------------
-------------- -5.3 --------------
-------------- -6.3 --------------
-------------- -7.1 --------------
-------------- -7.7 --------------
-------------- -8 --------------
-------------- -8.2 --------------
-------------- -8.1 --------------
-------------- -7.8 --------------
-------------- -7.3 --------------
-------------- -6.7 --------------
-------------- -5.9 --------------
-------------- -5 --------------
-------------- -4 --------------
-------------- -3 --------------
-------------- -2 --------------
-------------- -1 --------------
-------------- 0 --------------
-------------- 0.9 --------------
-------------- 1.7 --------------
-------------- 2.3 --------------
-------------- 2.8 --------------
-------------- 3.2 --------------
-------------- 3.4 --------------
-------------- 3.5 --------------
-------------- 3.5 --------------
-------------- 3.3 --------------
-------------- 3.1 --------------
-------------- 2.8 --------------
-------------- 2.4 --------------
-------------- 1.9 --------------
-------------- 1.5 --------------
-------------- 1.1 --------------
-------------- 0.7 --------------
-------------- 0.4 --------------
-------------- 0.2 --------------
-------------- 0 --------------
-------------- 0 --------------
-------------- 0 --------------
-------------- 0.2 --------------
-------------- 0.4 --------------
-------------- 0.7 --------------
-------------- 1.1 --------------
-------------- 1.5 --------------
-------------- 1.9 --------------
-------------- 2.4 --------------
-------------- 2.8 --------------
-------------- 3.1 --------------
-------------- 3.3 --------------
-------------- 3.5 --------------
-------------- 3.5 --------------
-------------- 3.4 --------------
-------------- 3.2 --------------
-------------- 2.8 --------------
-------------- 2.3 --------------
-------------- 1.7 --------------
-------------- 0.9 --------------
-------------- 0 --------------
-------------- -1 --------------
-------------- -2 --------------
-------------- -3 --------------
-------------- -4 --------------
-------------- -5 --------------
-------------- -5.9 --------------
-------------- -6.7 --------------
-------------- -7.3 --------------
-------------- -7.8 --------------
-------------- -8.1 --------------
-------------- -8.2 --------------
-------------- -8 --------------
-------------- -7.7 --------------
-------------- -7.1 --------------
-------------- -6.3 --------------
-------------- -5.3 --------------
-------------- -4.2 --------------
-------------- -2.9 --------------
-------------- -1.5 --------------
-------------- 0 --------------
-------------- 1.5 --------------
-------------- 3 --------------
-------------- 4.4 --------------
-------------- 5.8 --------------
-------------- 7 --------------
-------------- 8 --------------
-------------- 8.9 --------------
-------------- 9.5 --------------
-------------- 9.9 --------------
-------------- 10 --------------
-------------- 9.9 --------------
-------------- 9.5 --------------
-------------- 8.9 --------------
-------------- 8 --------------
-------------- 7 --------------
-------------- 5.8 --------------
-------------- 4.4 --------------
-------------- 3 --------------
-------------- 1.5 --------------
-------------- 0 --------------
-------------- -1.5 --------------
-------------- -2.9 --------------
-------------- -4.2 --------------
-------------- -5.3 --------------
