s,original,noisy,hamming,input delta
0,10,9.7,100,0.3
1,9.9,9.4,100,0.5
2,9.5,10.1,100,-0.6
3,8.9,9.1,100,-0.2
4,8,7.5,70,0.5
5,7,8.4,7,-1.4
6,5.8,6.4,92,-0.6
7,4.4,4.3,100,0.1
8,3,3,100,0
9,1.5,1.9,72,-0.4
10,0,-0.4,97,0.4
11,-1.5,-0.8,50,-0.7
12,-2.9,-3.5,60,0.6
13,-4.2,-4.5,100,0.3
14,-5.3,-5.1,97,-0.2
15,-6.3,-6.6,70,0.3
16,-7.1,-5.9,20,-1.2
17,-7.7,-9.2,65,1.5
18,-8,-8.8,97,0.8
19,-8.2,-7.3,97,-0.9
20,-8.1,-7.9,100,-0.2
21,-7.8,-8.4,100,0.6
22,-7.3,-6.6,85,-0.7
23,-6.7,-6.4,72,-0.3
24,-5.9,-6.6,32,0.7
25,-5,-4.7,95,-0.3
26,-4,-4.1,97,0.1
27,-3,-3.4,65,0.4
28,-2,-2.4,87,0.4
29,-1,-0.7,40,-0.3
30,0,0.7,55,-0.7
31,0.9,1.6,52,-0.7
32,1.7,1.7,100,0
33,2.3,1.4,27,0.9
34,2.8,2.8,100,0
35,3.2,1.3,0,1.9
36,3.4,4,85,-0.6
37,3.5,3.7,97,-0.2
38,3.5,4.4,70,-0.9
39,3.3,4.1,82,-0.8
40,3.1,4.1,65,-1
41,2.8,3.1,72,-0.3
42,2.4,2.6,77,-0.2
43,1.9,3.2,0,-1.3
44,1.5,1.2,87,0.3
45,1.1,1.9,57,-0.8
46,0.7,0.4,70,0.3
47,0.4,1,15,-0.6
48,0.2,0.2,100,0
49,0,-0.1,100,0.1
50,0,0.6,57,-0.6
51,0,-0.7,92,0.7
52,0.2,1.1,5,-0.9
53,0.4,0.5,95,-0.1
54,0.7,0.9,67,-0.2
55,1.1,1.6,80,-0.5
56,1.5,0.8,25,0.7
57,1.9,1.6,75,0.3
58,2.4,2.3,87,0.1
59,2.8,2.1,25,0.7
60,3.1,2.3,22,0.8
61,3.3,3.4,100,-0.1
62,3.5,4.5,70,-1
63,3.5,5.2,0,-1.7
64,3.4,3,70,0.4
65,3.2,3.9,75,-0.7
66,2.8,2,15,0.8
67,2.3,1.6,30,0.7
68,1.7,-0.1,0,1.8
69,0.9,1.3,62,-0.4
70,0,-0.1,100,0.1
71,-1,-1.4,70,0.4
72,-2,-2.9,82,0.9
73,-3,-3.1,85,0.1
74,-4,-3.9,77,-0.1
