#,original,noisy,hamming
0,10,10.3,100
1,9.9,10.1,100
2,9.5,10.4,97
3,8.9,8.5,92
4,8,7,50
5,7,6.6,100
6,5.8,4.9,77
7,4.4,6.3,17
8,3,2.6,70
9,1.5,-0.1,0
10,0,1.6,0
11,-1.5,-1.7,97
12,-2.9,-3.1,80
13,-4.2,-4.5,100
14,-5.3,-4.6,90
15,-6.3,-8,52
16,-7.1,-6.5,75
17,-7.7,-7.7,100
18,-8,-8.6,97
19,-8.2,-8.4,100
20,-8.1,-7.7,100
21,-7.8,-6.1,15
22,-7.3,-6.6,85
23,-6.7,-6.7,100
24,-5.9,-4.9,82
25,-5,-5.5,90
26,-4,-4.5,90
27,-3,-3,100
28,-2,-2.8,82
29,-1,-1.5,70
30,0,0.1,97
31,0.9,1.1,72
32,1.7,1.5,90
33,2.3,2.9,40
34,2.8,3.6,52
35,3.2,3.4,87
36,3.4,2.1,5
37,3.5,4.2,72
38,3.5,4.6,45
39,3.3,4.5,70
40,3.1,2.8,72
41,2.8,2.7,87
42,2.4,2.6,77
43,1.9,2.9,5
44,1.5,1.1,82
45,1.1,0,2
46,0.7,0.4,70
47,0.4,-0.6,82
48,0.2,0.5,85
49,0,-0.2,100
50,0,-0.7,92
51,0,-0.8,52
52,0.2,1.2,5
53,0.4,1.3,2
54,0.7,1.1,40
55,1.1,2.3,17
56,1.5,-1.2,0
57,1.9,2.5,27
58,2.4,2.9,52
59,2.8,3.2,67
60,3.1,3.2,95
61,3.3,3.8,92
62,3.5,4.4,70
63,3.5,4.5,70
64,3.4,2.3,5
65,3.2,2.9,77
66,2.8,4,42
67,2.3,2,62
68,1.7,2,75
69,0.9,1.5,55
70,0,0.3,87
71,-1,0.9,7
72,-2,-2.3,87
73,-3,-3.2,72
74,-4,-3.2,60
75,-5,-5.6,90
76,-5.9,-6.3,62
77,-6.7,-7.1,87
78,-7.3,-7.9,97
79,-7.8,-9.1,80
80,-8.1,-7.4,100
81,-8.2,-8.3,100
82,-8,-7.7,100
83,-7.7,-8.2,100
84,-7.1,-6.9,100
85,-6.3,-6.9,57
86,-5.3,-5.9,85
87,-4.2,-2.8,17
88,-2.9,-2.8,100
89,-1.5,-1.4,97
90,0,0.3,87
91,1.5,0.4,0
92,3,4.1,52
93,4.4,3.6,72
94,5.8,5.6,97
95,7,6.4,97
96,8,8,100
97,8.9,9.7,100
98,9.5,9,100
99,9.9,9.5,100
100,10,10.4,97
101,9.9,9.9,100
102,9.5,9,100
103,8.9,8.5,92
104,8,7.9,80
105,7,6.8,100
106,5.8,5.5,85
107,4.4,4.1,87
108,3,3.6,67
109,1.5,1,77
110,0,-1.7,2
111,-1.5,-0.6,7
112,-2.9,-2.9,100
113,-4.2,-4.7,97
114,-5.3,-4.8,97
115,-6.3,-6.4,97
116,-7.1,-7,100
117,-7.7,-8.1,100
118,-8,-6.9,95
119,-8.2,-8.8,97
120,-8.1,-6.9,95
121,-7.8,-8.1,100
122,-7.3,-6.7,85
123,-6.7,-8.9,80
124,-5.9,-6,100
125,-5,-3.8,57
126,-4,-5.6,72
127,-3,-1.8,77
128,-2,-2.3,87
129,-1,-2.6,47
130,0,0.4,85
131,0.9,-0.4,22
132,1.7,1.5,90
133,2.3,2.5,67
134,2.8,3.2,67
135,3.2,2.4,30
136,3.4,3.8,92
137,3.5,3.5,100
138,3.5,5.5,0
139,3.3,2.9,65
140,3.1,3.9,70
141,2.8,2,15
142,2.4,3.4,17
143,1.9,2,92
144,1.5,1.2,87
145,1.1,1,95
146,0.7,1.5,25
147,0.4,1,15
148,0.2,-0.1,95
149,0,-0.6,95
150,0,-0.4,97
151,0,-0.3,97
152,0.2,0.3,92
153,0.4,-0.3,85
154,0.7,1,45
155,1.1,-0.3,5
156,1.5,1,77
157,1.9,1.8,85
158,2.4,2.9,52
159,2.8,3.9,45
160,3.1,3.5,82
161,3.3,4.5,70
162,3.5,3.7,97
163,3.5,3.5,100
164,3.4,2.9,65
165,3.2,3.2,100
166,2.8,3.1,72
167,2.3,2.9,40
168,1.7,1.5,90
169,0.9,0.1,25
170,0,-0.8,52
171,-1,-1.3,72
172,-2,-1.2,90
173,-3,-2.9,95
174,-4,-3.2,60
175,-5,-5.6,90
176,-5.9,-5.3,85
177,-6.7,-7.1,87
178,-7.3,-6.7,85
179,-7.8,-6.1,15
180,-8.1,-9.6,2
181,-8.2,-6.7,82
182,-8,-6.7,82
183,-7.7,-8.9,97
184,-7.1,-7.1,100
185,-6.3,-6.5,82
186,-5.3,-4.9,97
187,-4.2,-3.9,67
188,-2.9,-1.4,75
189,-1.5,-2.9,77
190,0,0.2,95
191,1.5,1.5,100
192,3,3.3,70
193,4.4,3.7,72
194,5.8,5.1,77
195,7,6.7,100
196,8,7.4,65
197,8.9,9.3,100
198,9.5,9.3,100
199,9.9,10.4,97
Average,72.385,,
