Value-1,Value-2,delta,Hamming
10,9.9,0.1,100
9.9,9.5,0.4,100
9.5,8.9,0.6,100
8.9,8,0.9,50
8,7,1,50
7,5.8,1.2,90
5.8,4.4,1.4,20
4.4,3.5,0.9,70
3.5,3.4,0.1,100
3.4,3.3,0.1,100
3.3,3.2,0.1,87
3.2,3.1,0.1,95
3.1,3,0.1,87
3,2.8,0.2,85
2.8,2.4,0.4,62
2.4,2.3,0.1,87
2.3,1.9,0.4,55
1.9,1.7,0.2,82
1.7,1.5,0.2,90
1.5,1.1,0.4,82
1.1,0.9,0.2,72
0.9,0.7,0.2,67
0.7,0.4,0.3,70
0.4,0.2,0.2,90
0.2,0,0.2,95
0,-1,1,32
-1,-1.5,0.5,70
-1.5,-2,0.5,95
-2,-2.9,0.9,82
-2.9,-3,0.1,95
-3,-4,1,32
-4,-4.2,0.2,90
-4.2,-5,0.8,92
-5,-5.3,0.3,97
-5.3,-5.9,0.6,85
-5.9,-6.3,0.4,62
-6.3,-6.7,0.4,70
-6.7,-7.1,0.4,87
-7.1,-7.3,0.2,97
-7.3,-7.7,0.4,97
-7.7,-7.8,0.1,100
-7.8,-8,0.2,100
-8,-8.1,0.1,100
-8.1,-8.2,0.1,100
