#,original,noisy,hamming,input delta
0,10,9.7,100,0.3000000000000007
1,9.9,9.4,100,0.5
2,9.5,10.1,100,-0.5999999999999996
3,8.9,9.1,100,-0.1999999999999993
4,8,7.5,20,0.5
5,7,8.4,2,-1.4000000000000004
6,5.8,6.4,97,-0.6000000000000005
7,4.4,4.3,95,0.10000000000000053
8,3,3,100,0
9,1.5,1.9,5,-0.3999999999999999
10,0,-0.4,47,0.4
11,-1.5,-0.8,67,-0.7
12,-2.9,-3.5,67,0.6000000000000001
13,-4.2,-4.5,100,0.2999999999999998
14,-5.3,-5.1,97,-0.20000000000000018
15,-6.3,-6.6,95,0.2999999999999998
16,-7.1,-5.9,37,-1.1999999999999993
17,-7.7,-9.2,100,1.4999999999999991
18,-8,-8.8,100,0.8000000000000007
19,-8.2,-7.3,100,-0.8999999999999995
20,-8.1,-7.9,100,-0.1999999999999993
21,-7.8,-8.4,100,0.6000000000000005
22,-7.3,-6.6,100,-0.7000000000000002
23,-6.7,-6.4,95,-0.2999999999999998
24,-5.9,-6.6,37,0.6999999999999993
25,-5,-4.7,100,-0.2999999999999998
26,-4,-4.1,97,0.09999999999999964
27,-3,-3.4,87,0.3999999999999999
28,-2,-2.4,65,0.3999999999999999
29,-1,-0.7,57,-0.30000000000000004
30,0,0.7,0,-0.7
31,0.9,1.6,0,-0.7000000000000001
32,1.7,1.7,100,0
33,2.3,1.4,0,0.8999999999999999
34,2.8,2.8,100,0
35,3.2,1.3,0,1.9000000000000001
36,3.4,4,52,-0.6000000000000001
37,3.5,3.7,90,-0.20000000000000018
38,3.5,4.4,37,-0.9000000000000004
39,3.3,4.1,30,-0.7999999999999998
40,3.1,4.1,15,-0.9999999999999996
41,2.8,3.1,32,-0.30000000000000027
42,2.4,2.6,75,-0.20000000000000018
43,1.9,3.2,0,-1.3000000000000003
44,1.5,1.2,20,0.30000000000000004
45,1.1,1.9,0,-0.7999999999999998
46,0.7,0.4,42,0.29999999999999993
47,0.4,1,7,-0.6
48,0.2,0.2,100,0
49,0,-0.1,95,0.1
50,0,0.6,0,-0.6
51,0,-0.7,5,0.7
52,0.2,1.1,0,-0.9000000000000001
53,0.4,0.5,85,-0.09999999999999998
54,0.7,0.9,62,-0.20000000000000007
55,1.1,1.6,5,-0.5
56,1.5,0.8,0,0.7
57,1.9,1.6,20,0.2999999999999998
58,2.4,2.3,75,0.10000000000000009
59,2.8,2.1,5,0.6999999999999997
60,3.1,2.3,0,0.8000000000000003
61,3.3,3.4,77,-0.10000000000000009
62,3.5,4.5,25,-1
63,3.5,5.2,0,-1.7000000000000002
64,3.4,3,17,0.3999999999999999
65,3.2,3.9,27,-0.6999999999999997
66,2.8,2,0,0.7999999999999998
67,2.3,1.6,0,0.6999999999999997
68,1.7,-0.1,0,1.8
69,0.9,1.3,20,-0.4
70,0,-0.1,95,0.1
71,-1,-1.4,90,0.3999999999999999
72,-2,-2.9,52,0.8999999999999999
73,-3,-3.1,100,0.10000000000000009
74,-4,-3.9,100,-0.10000000000000009
75,-5,-4.9,100,-0.09999999999999964
76,-5.9,-5.7,97,-0.20000000000000018
77,-6.7,-6.3,95,-0.40000000000000036
78,-7.3,-6.9,100,-0.39999999999999947
79,-7.8,-7.3,100,-0.5
80,-8.1,-8.2,100,0.09999999999999964
81,-8.2,-8.9,100,0.7000000000000011
82,-8,-7.8,100,-0.20000000000000018
83,-7.7,-8.2,100,0.4999999999999991
84,-7.1,-6.8,100,-0.2999999999999998
85,-6.3,-5.8,42,-0.5
86,-5.3,-6.2,7,0.9000000000000004
87,-4.2,-3.4,52,-0.8000000000000003
88,-2.9,-3.3,77,0.3999999999999999
89,-1.5,-2.6,52,1.1
90,0,-0.9,2,0.9
91,1.5,1.8,30,-0.30000000000000004
92,3,1.9,0,1.1
93,4.4,4.3,95,0.10000000000000053
94,5.8,5.8,100,0
95,7,8.2,5,-1.1999999999999993
96,8,9,95,-1
97,8.9,7.2,0,1.7000000000000002
98,9.5,9.3,100,0.1999999999999993
99,9.9,10.3,100,-0.40000000000000036
100,10,9.5,100,0.5
101,9.9,8.5,100,1.4000000000000004
102,9.5,10.2,100,-0.6999999999999993
103,8.9,8.7,100,0.20000000000000107
104,8,8.1,100,-0.09999999999999964
105,7,6.7,95,0.2999999999999998
106,5.8,5.4,97,0.39999999999999947
107,4.4,4.8,65,-0.39999999999999947
108,3,3.4,17,-0.3999999999999999
109,1.5,0.6,0,0.9
110,0,0.7,0,-0.7
111,-1.5,-2.7,45,1.2000000000000002
112,-2.9,-2.7,95,-0.19999999999999973
113,-4.2,-3.2,42,-1
114,-5.3,-6.4,7,1.1000000000000005
115,-6.3,-7.1,95,0.7999999999999998
116,-7.1,-7.3,100,0.20000000000000018
117,-7.7,-8.4,100,0.7000000000000002
118,-8,-7.2,100,-0.7999999999999998
119,-8.2,-8.7,100,0.5
120,-8.1,-8.7,100,0.5999999999999996
121,-7.8,-8.2,100,0.39999999999999947
122,-7.3,-9.5,100,2.2
123,-6.7,-6.5,95,-0.20000000000000018
124,-5.9,-6.2,42,0.2999999999999998
125,-5,-5.7,65,0.7000000000000002
126,-4,-5.1,97,1.0999999999999996
127,-3,-3,100,0
128,-2,-1.8,97,-0.19999999999999996
129,-1,0,2,-1
130,0,-0.1,95,0.1
131,0.9,1.1,45,-0.20000000000000007
132,1.7,1.7,100,0
133,2.3,2,32,0.2999999999999998
134,2.8,2.7,87,0.09999999999999964
135,3.2,3.6,52,-0.3999999999999999
136,3.4,3.3,77,0.10000000000000009
137,3.5,2.1,0,1.4
138,3.5,1.9,0,1.6
139,3.3,2.5,0,0.7999999999999998
140,3.1,3.4,47,-0.2999999999999998
141,2.8,2.5,42,0.2999999999999998
142,2.4,1.2,0,1.2
143,1.9,2.7,2,-0.8000000000000003
144,1.5,0.8,0,0.7
145,1.1,0.3,0,0.8
146,0.7,-0.3,5,1
147,0.4,1.9,0,-1.5
148,0.2,0,35,0.2
149,0,-0.8,5,0.8
150,0,0.1,67,-0.1
151,0,-0.4,47,0.4
152,0.2,-0.1,40,0.30000000000000004
153,0.4,0.6,60,-0.19999999999999996
154,0.7,1.1,15,-0.40000000000000013
155,1.1,0.9,45,0.20000000000000007
156,1.5,0.9,0,0.6
157,1.9,1.4,7,0.5
158,2.4,2.6,75,-0.20000000000000018
159,2.8,2.9,90,-0.10000000000000009
160,3.1,2.7,20,0.3999999999999999
161,3.3,3.7,57,-0.40000000000000036
162,3.5,3.7,90,-0.20000000000000018
163,3.5,4.5,25,-1
164,3.4,4,52,-0.6000000000000001
165,3.2,2.7,5,0.5
166,2.8,2.5,42,0.2999999999999998
167,2.3,1.4,0,0.8999999999999999
168,1.7,1.6,70,0.09999999999999987
169,0.9,0.5,20,0.4
170,0,0,100,0
171,-1,-0.9,82,-0.09999999999999998
172,-2,-2.5,62,0.5
173,-3,-3.4,87,0.3999999999999999
174,-4,-4.9,97,0.9000000000000004
175,-5,-6,60,1
176,-5.9,-6.7,37,0.7999999999999998
177,-6.7,-6.8,100,0.09999999999999964
178,-7.3,-6,40,-1.2999999999999998
179,-7.8,-8.6,100,0.7999999999999998
180,-8.1,-7.8,100,-0.2999999999999998
181,-8.2,-8.7,100,0.5
182,-8,-8.1,100,0.09999999999999964
183,-7.7,-7.5,100,-0.20000000000000018
