#,original,noisy,hamming,input delta
0,10,11.3,100,-1.3000000000000007
1,9.9,9.4,100,0.5
2,9.5,9.4,100,0.09999999999999964
3,8.9,10.3,100,-1.4000000000000004
4,8,8.6,95,-0.5999999999999996
5,7,8.6,0,-1.5999999999999996
6,5.8,4,2,1.7999999999999998
7,4.4,5.1,55,-0.6999999999999993
8,3,2.5,12,0.5
9,1.5,-0.7,0,2.2
10,0,-1.4,0,1.4
11,-1.5,-2.4,52,0.8999999999999999
12,-2.9,-3.4,75,0.5
13,-4.2,-3.4,52,-0.8000000000000003
14,-5.3,-6.4,7,1.1000000000000005
15,-6.3,-4.9,5,-1.3999999999999995
16,-7.1,-8.3,100,1.200000000000001
17,-7.7,-6.1,42,-1.6000000000000005
18,-8,-8.2,100,0.1999999999999993
19,-8.2,-6.7,100,-1.4999999999999991
20,-8.1,-8.9,100,0.8000000000000007
21,-7.8,-6.2,95,-1.5999999999999996
22,-7.3,-7.6,100,0.2999999999999998
23,-6.7,-6.9,100,0.20000000000000018
24,-5.9,-4.4,62,-1.5
25,-5,-3.6,92,-1.4
26,-4,-2.4,20,-1.6
27,-3,-1.3,25,-1.7
28,-2,-2.4,65,0.3999999999999999
29,-1,-1.6,82,0.6000000000000001
30,0,0.1,67,-0.1
31,0.9,-0.5,0,1.4
32,1.7,1.6,70,0.09999999999999987
33,2.3,3.1,0,-0.8000000000000003
34,2.8,3.7,2,-0.9000000000000004
35,3.2,4.4,7,-1.2000000000000002
36,3.4,3.1,47,0.2999999999999998
37,3.5,2.8,2,0.7000000000000002
38,3.5,4,65,-0.5
39,3.3,4.4,12,-1.1000000000000005
40,3.1,0.8,0,2.3
41,2.8,1.3,0,1.4999999999999998
42,2.4,3.6,0,-1.2000000000000002
43,1.9,1.5,5,0.3999999999999999
44,1.5,0.5,0,1
45,1.1,1.3,52,-0.19999999999999996
46,0.7,-0.5,2,1.2
47,0.4,-1,10,1.4
48,0.2,0.5,47,-0.3
49,0,-0.5,27,0.5
50,0,-1.1,2,1.1
51,0,1.5,0,-1.5
52,0.2,1.4,0,-1.2
53,0.4,-2.4,0,2.8
54,0.7,-0.3,5,1
55,1.1,1.2,85,-0.09999999999999987
56,1.5,1.2,20,0.30000000000000004
57,1.9,2.6,7,-0.7000000000000002
58,2.4,2,15,0.3999999999999999
59,2.8,2.4,42,0.3999999999999999
60,3.1,4.1,15,-0.9999999999999996
61,3.3,1.9,0,1.4
62,3.5,2.2,0,1.2999999999999998
63,3.5,5.2,0,-1.7000000000000002
64,3.4,3,17,0.3999999999999999
65,3.2,3.6,52,-0.3999999999999999
66,2.8,2.6,57,0.19999999999999973
67,2.3,1.5,0,0.7999999999999998
68,1.7,2.5,0,-0.8
69,0.9,3,0,-2.1
70,0,0,100,0
71,-1,-2.2,75,1.2000000000000002
72,-2,-1.1,77,-0.8999999999999999
73,-3,-3,100,0
74,-4,-3.8,100,-0.20000000000000018
75,-5,-3.9,97,-1.1
76,-5.9,-5.2,65,-0.7000000000000002
77,-6.7,-6.5,95,-0.20000000000000018
78,-7.3,-8.6,100,1.2999999999999998
79,-7.8,-6.9,100,-0.8999999999999995
80,-8.1,-8.8,100,0.7000000000000011
81,-8.2,-8.4,100,0.20000000000000107
82,-8,-7.6,100,-0.40000000000000036
83,-7.7,-6.9,100,-0.7999999999999998
84,-7.1,-7,100,-0.09999999999999964
85,-6.3,-5,5,-1.2999999999999998
86,-5.3,-6.9,2,1.6000000000000005
87,-4.2,-4.5,100,0.2999999999999998
88,-2.9,-3.8,30,0.8999999999999999
89,-1.5,-4.4,2,2.9000000000000004
90,0,-0.3,70,0.3
91,1.5,1.6,70,-0.10000000000000009
92,3,2,0,1
93,4.4,7,25,-2.5999999999999996
94,5.8,5.5,100,0.2999999999999998
95,7,6.4,95,0.5999999999999996
96,8,7.3,5,0.7000000000000002
97,8.9,7.1,0,1.8000000000000007
98,9.5,9.3,100,0.1999999999999993
99,9.9,9.7,100,0.20000000000000107
100,10,11.1,100,-1.0999999999999996
101,9.9,10,100,-0.09999999999999964
102,9.5,10.8,100,-1.3000000000000007
103,8.9,8.7,100,0.20000000000000107
104,8,7.4,17,0.5999999999999996
105,7,7.8,60,-0.7999999999999998
106,5.8,5.9,100,-0.10000000000000053
107,4.4,5.7,25,-1.2999999999999998
108,3,3.7,12,-0.7000000000000002
109,1.5,0.5,0,1
110,0,0.8,0,-0.8
111,-1.5,-0.9,72,-0.6
112,-2.9,-3.8,30,0.8999999999999999
113,-4.2,-4.7,100,0.5
114,-5.3,-5,97,-0.2999999999999998
115,-6.3,-7.8,95,1.5
116,-7.1,-7.2,100,0.10000000000000053
117,-7.7,-6.9,100,-0.7999999999999998
118,-8,-8.1,100,0.09999999999999964
119,-8.2,-10.1,100,1.9000000000000004
120,-8.1,-7.8,100,-0.2999999999999998
121,-7.8,-8.3,100,0.5000000000000009
122,-7.3,-7,100,-0.2999999999999998
123,-6.7,-5.8,37,-0.9000000000000004
124,-5.9,-6.8,37,0.8999999999999995
125,-5,-3.2,42,-1.7999999999999998
126,-4,-3,42,-1
127,-3,-2.6,77,-0.3999999999999999
128,-2,-2.3,82,0.2999999999999998
129,-1,-1.1,95,0.10000000000000009
130,0,0.4,15,-0.4
131,0.9,0,0,0.9
132,1.7,2.3,2,-0.5999999999999999
133,2.3,2.8,27,-0.5
134,2.8,3.9,5,-1.1
135,3.2,4.9,0,-1.7000000000000002
136,3.4,3.4,100,0
137,3.5,4.3,42,-0.7999999999999998
138,3.5,3.5,100,0
139,3.3,4.9,0,-1.6000000000000005
140,3.1,2.8,32,0.30000000000000027
141,2.8,2.6,57,0.19999999999999973
142,2.4,1.8,0,0.5999999999999999
143,1.9,2.2,37,-0.30000000000000027
144,1.5,0.7,0,0.8
145,1.1,-0.1,0,1.2000000000000002
146,0.7,-1.1,2,1.8
147,0.4,-0.3,30,0.7
148,0.2,1,0,-0.8
149,0,-1.8,0,1.8
150,0,-0.6,7,0.6
151,0,1.3,0,-1.3
152,0.2,-1.2,5,1.4
153,0.4,-0.3,30,0.7
154,0.7,-1.1,2,1.8
155,1.1,-0.6,2,1.7000000000000002
156,1.5,2.5,0,-1
157,1.9,0.7,0,1.2
158,2.4,1.3,0,1.0999999999999999
159,2.8,2.6,57,0.19999999999999973
160,3.1,3,70,0.10000000000000009
161,3.3,5.5,0,-2.2
162,3.5,4,65,-0.5
163,3.5,2.9,2,0.6000000000000001
164,3.4,1.1,0,2.3
165,3.2,2.2,0,1
166,2.8,2.1,5,0.6999999999999997
167,2.3,2.5,77,-0.20000000000000018
168,1.7,1.3,20,0.3999999999999999
169,0.9,0.5,20,0.4
170,0,1.8,0,-1.8
171,-1,-1.6,82,0.6000000000000001
172,-2,-0.8,60,-1.2
173,-3,-3.3,90,0.2999999999999998
174,-4,-4.6,97,0.5999999999999996
175,-5,-3.5,60,-1.5
176,-5.9,-7.1,37,1.1999999999999993
177,-6.7,-6.2,95,-0.5
178,-7.3,-8,100,0.7000000000000002
179,-7.8,-7.4,100,-0.39999999999999947
180,-8.1,-7.6,100,-0.5
181,-8.2,-8.4,100,0.20000000000000107
182,-8,-7.7,100,-0.2999999999999998
183,-7.7,-8.4,100,0.7000000000000002
184,-7.1,-6.9,100,-0.1999999999999993
185,-6.3,-6.1,47,-0.20000000000000018
186,-5.3,-3.9,95,-1.4
187,-4.2,-4.5,100,0.2999999999999998
188,-2.9,-4.2,27,1.3000000000000003
189,-1.5,-2.1,87,0.6000000000000001
190,0,-0.5,27,0.5
191,1.5,0.8,0,0.7
192,3,4.1,15,-1.0999999999999996
193,4.4,4.4,100,0
194,5.8,6.7,97,-0.9000000000000004
195,7,7.4,85,-0.40000000000000036
196,8,8.7,95,-0.6999999999999993
197,8.9,9.9,100,-1
198,9.5,9.7,100,-0.1999999999999993
199,9.9,10.3,100,-0.40000000000000036
Average,49.55
