#,original,noisy,hamming,input delta
0,10,11.3,45,-1.3000000000000007
1,9.9,9.4,100,0.5
2,9.5,9.4,100,0.09999999999999964
3,8.9,10.3,100,-1.4000000000000004
4,8,8.6,60,-0.5999999999999996
5,7,8.6,12,-1.5999999999999996
6,5.8,4,20,1.7999999999999998
7,4.4,5.1,67,-0.6999999999999993
8,3,2.5,82,0.5
9,1.5,-0.7,10,2.2
10,0,-1.4,25,1.4
11,-1.5,-2.4,72,0.8999999999999999
12,-2.9,-3.4,87,0.5
13,-4.2,-3.4,72,-0.8000000000000003
14,-5.3,-6.4,32,1.1000000000000005
15,-6.3,-4.9,35,-1.3999999999999995
16,-7.1,-8.3,95,1.200000000000001
17,-7.7,-6.1,52,-1.6000000000000005
18,-8,-8.2,100,0.1999999999999993
19,-8.2,-6.7,82,-1.4999999999999991
20,-8.1,-8.9,95,0.8000000000000007
21,-7.8,-6.2,57,-1.5999999999999996
22,-7.3,-7.6,97,0.2999999999999998
23,-6.7,-6.9,92,0.20000000000000018
24,-5.9,-4.4,60,-1.5
25,-5,-3.6,62,-1.4
26,-4,-2.4,57,-1.6
27,-3,-1.3,52,-1.7
28,-2,-2.4,82,0.3999999999999999
29,-1,-1.6,52,0.6000000000000001
30,0,0.1,95,-0.1
31,0.9,-0.5,47,1.4
32,1.7,1.6,92,0.09999999999999987
33,2.3,3.1,67,-0.8000000000000003
34,2.8,3.7,92,-0.9000000000000004
35,3.2,4.4,35,-1.2000000000000002
36,3.4,3.1,97,0.2999999999999998
37,3.5,2.8,95,0.7000000000000002
38,3.5,4,82,-0.5
39,3.3,4.4,35,-1.1000000000000005
40,3.1,0.8,0,2.3
41,2.8,1.3,5,1.4999999999999998
42,2.4,3.6,80,-1.2000000000000002
43,1.9,1.5,75,0.3999999999999999
44,1.5,0.5,42,1
45,1.1,1.3,97,-0.19999999999999996
46,0.7,-0.5,55,1.2
47,0.4,-1,60,1.4
48,0.2,0.5,95,-0.3
49,0,-0.5,87,0.5
50,0,-1.1,57,1.1
51,0,1.5,32,-1.5
52,0.2,1.4,50,-1.2
53,0.4,-2.4,0,2.8
54,0.7,-0.3,62,1
55,1.1,1.2,100,-0.09999999999999987
56,1.5,1.2,80,0.30000000000000004
57,1.9,2.6,57,-0.7000000000000002
58,2.4,2,72,0.3999999999999999
59,2.8,2.4,85,0.3999999999999999
60,3.1,4.1,67,-0.9999999999999996
61,3.3,1.9,42,1.4
62,3.5,2.2,55,1.2999999999999998
63,3.5,5.2,2,-1.7000000000000002
64,3.4,3,97,0.3999999999999999
65,3.2,3.6,100,-0.3999999999999999
66,2.8,2.6,90,0.19999999999999973
67,2.3,1.5,52,0.7999999999999998
68,1.7,2.5,42,-0.8
69,0.9,3,0,-2.1
70,0,0,100,0
71,-1,-2.2,47,1.2000000000000002
72,-2,-1.1,55,-0.8999999999999999
73,-3,-3,100,0
74,-4,-3.8,92,-0.20000000000000018
75,-5,-3.9,82,-1.1
76,-5.9,-5.2,67,-0.7000000000000002
77,-6.7,-6.5,92,-0.20000000000000018
78,-7.3,-8.6,95,1.2999999999999998
79,-7.8,-6.9,90,-0.8999999999999995
80,-8.1,-8.8,97,0.7000000000000011
81,-8.2,-8.4,100,0.20000000000000107
82,-8,-7.6,100,-0.40000000000000036
83,-7.7,-6.9,90,-0.7999999999999998
84,-7.1,-7,97,-0.09999999999999964
85,-6.3,-5,35,-1.2999999999999998
86,-5.3,-6.9,15,1.6000000000000005
87,-4.2,-4.5,90,0.2999999999999998
88,-2.9,-3.8,70,0.8999999999999999
89,-1.5,-4.4,17,2.9000000000000004
90,0,-0.3,95,0.3
91,1.5,1.6,97,-0.10000000000000009
92,3,2,55,1
93,4.4,7,65,-2.5999999999999996
94,5.8,5.5,95,0.2999999999999998
95,7,6.4,90,0.5999999999999996
