#,original,noisy,hamming,input delta
0,10,7.1,12,2.9000000000000004
1,9.9,10.8,85,-0.9000000000000004
2,9.5,10.3,100,-0.8000000000000007
3,8.9,6,2,2.9000000000000004
4,8,7.6,85,0.40000000000000036
5,7,5.6,87,1.4000000000000004
6,5.8,9.6,2,-3.8
7,4.4,5.5,67,-1.0999999999999996
8,3,4.4,32,-1.4000000000000004
9,1.5,-0.8,5,2.3
10,0,1.1,52,-1.1
11,-1.5,2.4,0,-3.9
12,-2.9,-4,62,1.1
13,-4.2,-6,42,1.7999999999999998
14,-5.3,-8.8,2,3.500000000000001
15,-6.3,-6.8,80,0.5
16,-7.1,-11,0,3.9000000000000004
17,-7.7,-8.3,100,0.6000000000000005
18,-8,-10.8,0,2.8000000000000007
19,-8.2,-4.7,0,-3.499999999999999
20,-8.1,-4,0,-4.1
21,-7.8,-9.1,77,1.2999999999999998
22,-7.3,-2.4,0,-4.9
23,-6.7,-6.7,100,0
24,-5.9,-4.9,62,-1
25,-5,-5.3,95,0.2999999999999998
26,-4,-2.8,60,-1.2000000000000002
27,-3,-4.2,62,1.2000000000000002
28,-2,-1.7,92,-0.30000000000000004
29,-1,-0.2,67,-0.8
30,0,0.8,62,-0.8
31,0.9,2.5,12,-1.6
32,1.7,5.3,0,-3.5999999999999996
33,2.3,6,0,-3.7
34,2.8,0.5,0,2.3
35,3.2,1.5,17,1.7000000000000002
36,3.4,4.4,35,-1.0000000000000004
37,3.5,4.9,12,-1.4000000000000004
38,3.5,1,0,2.5
39,3.3,-0.5,0,3.8
40,3.1,3.4,97,-0.2999999999999998
41,2.8,2.7,90,0.09999999999999964
42,2.4,2.7,95,-0.30000000000000027
43,1.9,0,10,1.9
44,1.5,2,65,-0.5
45,1.1,2.7,15,-1.6
46,0.7,1.3,82,-0.6000000000000001
47,0.4,2.4,0,-2
48,0.2,-2.1,10,2.3000000000000003
49,0,-3.4,0,3.4
50,0,0.5,90,-0.5
51,0,-0.3,95,0.3
52,0.2,-4.4,0,4.6000000000000005
53,0.4,-3.6,0,4
54,0.7,0.2,72,0.49999999999999994
55,1.1,1.1,100,0
56,1.5,0.9,72,0.6
57,1.9,1.1,57,0.7999999999999998
58,2.4,0,0,2.4
59,2.8,1.7,27,1.0999999999999999
60,3.1,-0.7,0,3.8
61,3.3,-2.1,0,5.4
62,3.5,7.3,0,-3.8
63,3.5,3.3,100,0.20000000000000018
64,3.4,3.4,100,0
65,3.2,1.6,17,1.6
66,2.8,2.7,90,0.09999999999999964
67,2.3,5.4,0,-3.1000000000000005
68,1.7,-3.5,0,5.2
69,0.9,1.9,50,-0.9999999999999999
70,0,-3.1,2,3.1
71,-1,-2.1,50,1.1
72,-2,-3.2,70,1.2000000000000002
73,-3,-0.3,7,-2.7
